Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,4,4,5,10,11,5,10,,True
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],3,9,9,4,8,10,4,8,10,False
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],3,5,5,2,4,13,2,4,13,True
Nick,['t'],2,1,1,2,3,4,2,3,,False
Adam,['t'],2,4,4,2,6,10,2,6,,True
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],3,6,6,7,10,12,7,10,12,False
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,5,5,9,10,13,9,10,,True
Nick,['t'],2,1,1,2,3,4,2,3,,False
Adam,['t'],3,8,8,1,4,11,1,4,11,True
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],3,8,8,2,7,13,2,7,13,True
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],3,6,6,1,5,13,1,5,13,False
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],3,1,1,2,5,6,2,5,6,False
Nick,['n'],0,1,1,2,3,4,0,0,0,False
Adam,['t'],3,1,1,2,4,7,2,4,7,True
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['n'],0,1,1,2,4,7,0,0,0,False
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],3,1,1,2,6,9,2,6,9,False
Nick,['t'],2,1,1,2,3,4,2,3,,False
Adam,['t'],3,1,1,2,7,13,2,7,13,True
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,1,1,2,3,13,2,3,,True
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],3,1,1,2,4,5,2,4,5,False
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,1,1,2,9,10,2,9,,True
Nick,['t'],2,1,1,2,3,4,2,3,,True
Adam,['t'],3,1,1,2,4,5,2,4,5,False
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],3,1,1,2,3,6,2,3,6,False
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],3,1,1,2,4,6,2,4,6,True
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],3,1,1,2,5,13,2,5,13,True
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['t'],2,1,1,2,9,12,2,9,,False
Nick,['t'],2,1,1,2,3,4,2,3,,False
Adam,['t'],3,1,1,2,5,12,2,5,12,True
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,1,1,2,8,13,2,8,,True
Nick,['n'],0,1,1,2,3,4,0,0,0,False
Adam,['n'],0,1,1,2,7,11,0,0,0,True
Nick,['n'],0,1,1,2,3,4,0,0,0,False
Adam,['t'],2,1,1,2,3,8,2,3,,True
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,1,1,2,11,13,2,11,,True
Nick,['t'],2,1,1,2,3,4,2,3,,True
Adam,['t'],2,1,1,2,7,11,2,7,,False
Nick,['t'],2,1,1,2,3,4,2,3,,False
Adam,['n'],0,1,1,2,7,10,0,0,0,True
Nick,['t'],2,1,1,2,3,4,2,3,,False
Adam,['t'],2,1,1,2,8,12,2,8,,True
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,1,1,2,3,11,2,3,,True
Nick,['n'],0,1,1,2,3,4,0,0,0,False
Adam,['t'],3,1,1,2,5,10,2,5,10,True
Nick,['t'],2,1,1,2,3,4,2,3,,True
Adam,['t'],3,1,1,2,5,11,2,5,11,False
Nick,['t'],2,1,1,2,3,4,2,3,,True
Adam,['t'],3,1,1,2,7,11,2,7,11,False
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,1,1,2,9,10,2,9,,True
Nick,['t'],3,1,1,2,3,4,2,3,4,False
Adam,['t'],2,1,1,2,10,12,2,10,,True
Nick,['t'],3,1,1,2,3,4,2,3,4,True
Adam,['n'],0,1,1,2,5,10,0,0,0,False
Nick,['t'],3,1,1,2,3,4,2,3,4,False
